job_id	arm	dataset	seq_len	pred_len	seed	cut_freq
DRY	ind	weather	96	96	2026	5
DRY	ind	weather	96	336	2026	5
DRY	ind	weather	96	96	2026	13
DRY	ind	weather	96	336	2026	13
DRY	ind	weather	96	96	2026	25
DRY	ind	weather	96	336	2026	25
DRY	ind_cycle_full	weather	96	96	2026	13
DRY	ind_cycle_full	weather	96	336	2026	13
DRY	ind_direct_res	weather	96	96	2026	13
DRY	ind_direct_res	weather	96	336	2026	13
DRY	ind_dlinear_res	weather	96	96	2026	13
DRY	ind_dlinear_res	weather	96	336	2026	13
DRY	ind	electricity	96	96	2026	25
DRY	ind	electricity	96	336	2026	25
DRY	ind_cycle_full	electricity	96	96	2026	25
DRY	ind_cycle_full	electricity	96	336	2026	25
DRY	ind_cycle_r8	electricity	96	96	2026	25
DRY	ind_cycle_r8	electricity	96	336	2026	25
DRY	ind_direct_res	electricity	96	96	2026	25
DRY	ind_direct_res	electricity	96	336	2026	25
DRY	ind_cycle_full_direct_res	electricity	96	96	2026	25
DRY	ind_cycle_full_direct_res	electricity	96	336	2026	25
DRY	period	electricity	720	96	2026	181
DRY	period	electricity	720	336	2026	181
DRY	period_cycle_full	electricity	720	96	2026	181
DRY	period_cycle_full	electricity	720	336	2026	181
