model,dataset,seq_len,pred_len,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,real_scalar_equivalent,fp32_model_mib,parameter_source,seed,train_seconds,test_elapsed_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,published_reference_mse,published_reference_source,notes
PhaseFormer,ETTh1,96,96,ok,0.37920286420944777,0.3911828108976939,9.071858123488898,0.6157944983591911,1500,,,1500,0.005722046,seed2026_audited_param_count,2026,153.198322057724,,2.116771697998047,0.22384371677258083,33.95263671875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l3_d4_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTh1,96,192,ok,0.43504765678323526,0.41964304212976333,9.605471493626158,0.6595814254383118,1520,,,1520,0.005798340,seed2026_audited_param_count,2026,154.7389509677887,,2.1083991527557373,0.22712209702981306,34.19287109375,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l3_d4_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTh1,96,336,ok,0.4703199958032298,0.4388321999728018,9.402540100562797,0.685798801255317,1550,,,1550,0.005912781,seed2026_audited_param_count,2026,156.78506064414978,,2.0865066051483154,0.23383594731926508,34.55322265625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l3_d4_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTh1,96,720,ok,0.4673344041049303,0.4466254323260923,8.598361217812835,0.6836186101218503,56550,,,56550,0.215721130,seed2026_audited_param_count,2026,186.42121934890747,,1.993556261062622,0.2828927793667627,39.0654296875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l3_d32_h2_r16; completion_0716v2_locked_profile.
PhaseFormer,ETTh2,96,96,ok,0.28936055215802187,0.3380854227411665,1.4138265555568226,0.5379224406529457,1508,,,1508,0.005752563,seed2026_audited_param_count,2026,61.296597480773926,,1.981269121170044,0.15434057530579182,34.1826171875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTh2,96,192,ok,0.3692879828999754,0.3867700981756921,1.5343424849586986,0.6076906967364034,1544,,,1544,0.005889893,seed2026_audited_param_count,2026,59.90663123130798,,1.9713308811187744,0.15911831301304502,34.4228515625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTh2,96,336,ok,0.41242676066680056,0.42372518960664013,1.7468801679313077,0.6422046096586357,1598,,,1598,0.006095886,seed2026_audited_param_count,2026,65.56306004524231,,1.321213722229004,0.11349610650631982,34.783203125,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTh2,96,720,ok,0.41670570071716334,0.4374676702369515,1.971322095905411,0.6455274593053059,614,,,614,0.002342224,seed2026_audited_param_count,2026,77.30527091026306,,1.4907150268554688,0.18826042718537606,35.35302734375,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l1_d4_h1_r4; completion_0716v2_locked_profile.
PhaseFormer,ETTm1,96,96,ok,0.32893934069945596,0.35809968917313983,2.1265817243289766,0.5735323362282688,3016,,,3016,0.011505127,seed2026_audited_param_count,2026,427.8746576309204,,3.7382278442382812,0.12415885964013164,34.40478515625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l2_d8_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTm1,96,192,ok,0.37370388539695537,0.3782108828979056,2.2178064779545794,0.6113132465413745,3052,,,3052,0.011642456,seed2026_audited_param_count,2026,491.7095901966095,,3.8746464252471924,0.1220712081576017,34.64501953125,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l2_d8_h1_r8; completion_0716v2_locked_profile.
PhaseFormer,ETTm1,96,336,ok,0.4128594334828244,0.4027578091750074,2.295526245913117,0.6425413865914198,1598,,,1598,0.006095886,seed2026_audited_param_count,2026,215.1580970287323,,3.4653873443603516,0.08443533981537008,34.783203125,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,,,Frozen historical PhaseFormer profile phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile.
