job_id	role	base_profile	arm	dataset	seq_len	pred_len	seed	cut_freq
28815043	bridge	ind_cycle_full	fk_r8_cs	weather	96	720	2026	13
28815044	bridge	ind_cycle_full	fk_sm2_mode	weather	96	720	2026	13
28815045	bridge	ind_cycle_full	fk_sm2_tail2	weather	96	720	2026	13
28815046	identity	ind_cycle_full	fk_r8_cs	ETTm1	96	96	2026	7
28815047	identity	ind_cycle_full	fk_sm2_mode	ETTm1	96	96	2026	7
28815048	identity	ind_cycle_full	fk_sm2_tail2	ETTm1	96	96	2026	7
28815049	identity	ind_cycle_full	fk_r8_cs	ETTm1	96	192	2026	7
28815050	identity	ind_cycle_full	fk_sm2_mode	ETTm1	96	192	2026	7
28815051	identity	ind_cycle_full	fk_sm2_tail2	ETTm1	96	192	2026	7
28815052	active	ind_cycle_full	fk_r8_cs	ETTm1	96	336	2026	7
28815053	active	ind_cycle_full	fk_sm2_mode	ETTm1	96	336	2026	7
28815054	active	ind_cycle_full	fk_sm2_tail2	ETTm1	96	336	2026	7
28815055	active	ind_cycle_full	fk_r8_cs	ETTm1	96	720	2026	7
28815056	active	ind_cycle_full	fk_sm2_mode	ETTm1	96	720	2026	7
28815057	active	ind_cycle_full	fk_sm2_tail2	ETTm1	96	720	2026	7
28815058	identity	ind_cycle_full	fk_r8_cs	traffic	96	96	2026	25
28815059	identity	ind_cycle_full	fk_sm2_mode	traffic	96	96	2026	25
28815060	identity	ind_cycle_full	fk_sm2_tail2	traffic	96	96	2026	25
28815061	identity	ind_cycle_full	fk_r8_cs	traffic	96	192	2026	25
28815062	identity	ind_cycle_full	fk_sm2_mode	traffic	96	192	2026	25
28815063	identity	ind_cycle_full	fk_sm2_tail2	traffic	96	192	2026	25
28815064	active	ind_cycle_full	fk_r8_cs	traffic	96	336	2026	25
28815065	active	ind_cycle_full	fk_sm2_mode	traffic	96	336	2026	25
28815066	active	ind_cycle_full	fk_sm2_tail2	traffic	96	336	2026	25
28815067	active	ind_cycle_full	fk_r8_cs	traffic	96	720	2026	25
28815068	active	ind_cycle_full	fk_sm2_mode	traffic	96	720	2026	25
28815069	active	ind_cycle_full	fk_sm2_tail2	traffic	96	720	2026	25
